Color,Continent,Country,GDP,Males %,Females %,Suicide Rate per 1M,Schizophrenia %,Bipolar %,Eating Disorder %,Anxiety %,Depression %,Substance Misuse per 1M
12,Europe,Bosnia and Herzegovina,5180.64,15.85366883,13.92156876,7.312109968,0.229122402,0.673138682,0.10731109,3.517572257,2.564634453,14108.78863
3,Africa,Botswana,7595.6,17.27048489,14.72791,17.63186922,0.205609856,0.62144149,0.146185888,3.602350754,4.402208226,15668.01739
21,South America,Brazil,9821.41,17.91559211,18.02637786,6.365576847,0.211821565,1.104674562,0.175387404,6.139371162,3.724392621,17414.43771
12,Europe,Bulgaria,8031.6,14.4654262,13.51788203,10.69540432,0.230454287,0.585024973,0.127218009,3.583942959,2.794418139,13282.27981
3,Africa,Burundi,320.09,17.48518542,15.92666283,14.62647423,0.175190943,0.616351098,0.059208353,3.37212747,4.278357098,16395.6711
6,Asia,Cambodia,1384.42,14.14104028,13.12268162,6.633276055,0.256246214,0.527793478,0.074855019,3.619645552,3.381689465,13290.16685
3,Africa,Cameroon,1446.7,15.69406161,14.80225519,16.94456035,0.193406958,0.625391146,0.085383226,2.98166057,4.319252821,15061.9165
15,North America,Canada,45032.12,19.72618892,18.21455317,10.86575973,0.332430041,0.866499801,0.312063139,5.549322348,3.998306653,17064.94626
21,South America,Chile,15346.45,18.13608027,19.9468784,10.8919622,0.207538603,0.914270173,0.256556398,6.298439604,4.219770154,17748.13626
6,Asia,China,8826.99,15.56407724,13.74975061,8.540882363,0.451516333,0.315051303,0.110938237,3.195014114,3.680338878,13821.67792
21,South America,Colombia,6301.59,13.84705377,11.3333737,5.679197941,0.211211124,0.761091732,0.190574746,2.575168213,2.378241003,12138.77321
3,Africa,Congo,457.85,16.09734522,14.82570917,10.78758202,0.193102051,0.613274168,0.104937616,3.243061281,4.545957745,15357.51209
3,Africa,Cote d'Ivoire,1662.44,15.35663912,14.2849865,16.61865859,0.192818808,0.616913254,0.087069268,2.94739861,3.834138282,14670.72499
12,Europe,Croatia,13294.51,15.42220042,13.83461208,14.33648364,0.235649658,0.676354988,0.13806367,3.562451305,3.081515548,13742.32532
15,North America,Cuba,7602.26,17.05874172,15.59718181,11.9863955,0.208206039,0.920941255,0.172561024,4.225085477,3.932262552,15766.20226
12,Europe,Denmark,56307.51,16.4556095,16.44193444,10.01264306,0.265556253,0.981735398,0.415740677,5.400758098,3.432562985,15208.43932
21,South America,Ecuador,6198.95,15.56728529,14.39477954,7.872625734,0.208130667,0.878358066,0.196127374,4.217587833,3.275092991,14555.55621
3,Africa,Egypt,2412.73,16.73350708,16.50105037,3.792580136,0.193472566,0.848420799,0.165110831,4.805326162,3.529188905,16021.53878
3,Africa,Ethiopia,767.56,18.25651273,15.34153228,12.71063902,0.184913155,0.622197823,0.069476011,3.483453307,4.367895455,16445.98529
18,Oceania,Fiji,5589.39,13.68570523,12.86498546,12.6382581,0.314063299,0.452431775,0.098042072,3.47701492,3.416248312,12931.12984
